acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Alec Baldwin,
                            Hugh Jackman,
                            Jude Law,
                            Chris Pine",145 000 000 $,Alexandre Desplat,  28/11/2012,"
                                  1h 37min                            ",571590,,Animation,Etats-Unis,,,,608,"
                Paramount","
                            Les Cinq légendes",https://www.jpbox-office.com/fichfilm.php?id=12676&view=2
,70 000 000 $,,  08/12/1999,"
                                  1h 56min                            ",569132,,Romance,Etats-Unis,,"
                                    Gary Marshall",,548,"
                GBVI","
                            Just married (ou presque)",https://www.jpbox-office.com/fichfilm.php?id=2722&view=2
"
                            Julia Roberts,
                            Richard Gere",70 000 000 $,James Newton Howard,  08/12/1999,"
                                  1h 56min                            ",569132,,Romance,Etats-Unis,,"
                                    Gary Marshall",,548,"
                GBVI","
                            Just married (ou presque)",https://www.jpbox-office.com/fichfilm.php?id=2722&view=2
,125 000 000 $,,  15/08/2012,"
                                  2h 01min                            ",551476,,Science Fiction,Etats-Unis,,"
                                    Len Wiseman",Remake,524,"
                Sony Pictures","
                            Total Recall - Mémoires Programmées",https://www.jpbox-office.com/fichfilm.php?id=12430&view=2
,205 000 000 $,,  20/12/2023,"
                                  1h 55min                            ",552105,,Comicbook,Etats-Unis,,"
                                    James Wan",,663,"
                Warner Bros.","
                            Aquaman et le Royaume perdu",https://www.jpbox-office.com/fichfilm.php?id=21215&view=2
"
                            Nicole Kidman",205 000 000 $,,  20/12/2023,"
                                  1h 55min                            ",552105,,Comicbook,Etats-Unis,,"
                                    James Wan",,663,"
                Warner Bros.","
                            Aquaman et le Royaume perdu",https://www.jpbox-office.com/fichfilm.php?id=21215&view=2
,19 746 327 €,,  25/10/2017,"
                                  1h 57min                            ",550185,,Comédie dramatique,France,,"
                                    Albert Dupontel",,488,"
                Gaumont","
                            Au revoir là-haut",https://www.jpbox-office.com/fichfilm.php?id=17248&view=2
,52 000 000 $,,  10/09/2008,"
                                  1h 48min                            ",550887,,Musical,Etats-Unis,,,,462,"
                Paramount","
                            Mamma Mia!",https://www.jpbox-office.com/fichfilm.php?id=10007&view=2
,170 000 000 $,,  27/03/2019,"
                                  1h 55min                            ",550574,,Film familial,Etats-Unis,,"
                                    Tim Burton",,601,"
                Walt Disney Pictures","
                            Dumbo (2019)",https://www.jpbox-office.com/fichfilm.php?id=18168&view=2
"
                            Danny DeVito,
                            Colin Farrell,
                            Eva Green,
                            Michael Keaton",170 000 000 $,Danny Elfman,  27/03/2019,"
                                  1h 55min                            ",550574,,Film familial,Etats-Unis,,"
                                    Tim Burton",,601,"
                Walt Disney Pictures","
                            Dumbo (2019)",https://www.jpbox-office.com/fichfilm.php?id=18168&view=2
"
                            Pierce Brosnan,
                            Colin Firth,
                            Meryl Streep",52 000 000 $,,  10/09/2008,"
                                  1h 48min                            ",550887,,Musical,Etats-Unis,,,,462,"
                Paramount","
                            Mamma Mia!",https://www.jpbox-office.com/fichfilm.php?id=10007&view=2
,100 000 000 $,,  16/02/2005,"
                                  2h 01min                            ",555362,,Comicbook,Etats-Unis,,"
                                    Francis Lawrence",,491,"
                Warner Bros.","
                            Constantine",https://www.jpbox-office.com/fichfilm.php?id=737&view=2
"
                            Keanu Reeves,
                            Rachel Weisz,
                            Shia LaBeouf",100 000 000 $,Brian Tyler,  16/02/2005,"
                                  2h 01min                            ",555362,,Comicbook,Etats-Unis,Lorenzo di Bonaventura,"
                                    Francis Lawrence",,491,"
                Warner Bros.","
                            Constantine",https://www.jpbox-office.com/fichfilm.php?id=737&view=2
"
                            Colin Farrell,
                            Kate Beckinsale,
                            Jessica Biel,
                            Bryan Cranston,
                            Ethan Hawke",125 000 000 $,,  15/08/2012,"
                                  2h 01min                            ",551476,,Science Fiction,Etats-Unis,Neal H. Moritz,"
                                    Len Wiseman",Remake,524,"
                Sony Pictures","
                            Total Recall - Mémoires Programmées",https://www.jpbox-office.com/fichfilm.php?id=12430&view=2
